,const,density,dz,zenith,algae
165,1.0,700,0.05,80,13000
166,1.0,700,0.05,80,15000
167,1.0,700,0.05,80,20000
168,1.0,800,0.05,30,0
169,1.0,800,0.05,30,5000
170,1.0,800,0.05,30,7000
171,1.0,800,0.05,30,11000
172,1.0,800,0.05,30,13000
173,1.0,800,0.05,30,15000
174,1.0,800,0.05,30,20000
175,1.0,800,0.05,40,0
176,1.0,800,0.05,40,5000
177,1.0,800,0.05,40,7000
178,1.0,800,0.05,40,11000
179,1.0,800,0.05,40,13000
180,1.0,800,0.05,40,15000
181,1.0,800,0.05,40,20000
182,1.0,800,0.05,50,0
183,1.0,800,0.05,50,5000
184,1.0,800,0.05,50,7000
185,1.0,800,0.05,50,11000
186,1.0,800,0.05,50,13000
187,1.0,800,0.05,50,15000
188,1.0,800,0.05,50,20000
189,1.0,800,0.05,60,0
190,1.0,800,0.05,60,5000
191,1.0,800,0.05,60,7000
192,1.0,800,0.05,60,11000
193,1.0,800,0.05,60,13000
194,1.0,800,0.05,60,15000
195,1.0,800,0.05,60,20000
196,1.0,800,0.05,70,0
197,1.0,800,0.05,70,5000
198,1.0,800,0.05,70,7000
199,1.0,800,0.05,70,11000
200,1.0,800,0.05,70,13000
201,1.0,800,0.05,70,15000
202,1.0,800,0.05,70,20000
203,1.0,800,0.05,80,0
204,1.0,800,0.05,80,5000
205,1.0,800,0.05,80,7000
206,1.0,800,0.05,80,11000
207,1.0,800,0.05,80,13000
208,1.0,800,0.05,80,15000
209,1.0,800,0.05,80,20000
210,1.0,850,0.05,30,0
211,1.0,850,0.05,30,5000
212,1.0,850,0.05,30,7000
213,1.0,850,0.05,30,11000
214,1.0,850,0.05,30,13000
215,1.0,850,0.05,30,15000
216,1.0,850,0.05,30,20000
217,1.0,850,0.05,40,0
218,1.0,850,0.05,40,5000
219,1.0,850,0.05,40,7000
220,1.0,850,0.05,40,11000
221,1.0,850,0.05,40,13000
222,1.0,850,0.05,40,15000
223,1.0,850,0.05,40,20000
224,1.0,850,0.05,50,0
225,1.0,850,0.05,50,5000
226,1.0,850,0.05,50,7000
227,1.0,850,0.05,50,11000
228,1.0,850,0.05,50,13000
229,1.0,850,0.05,50,15000
230,1.0,850,0.05,50,20000
231,1.0,850,0.05,60,0
232,1.0,850,0.05,60,5000
233,1.0,850,0.05,60,7000
234,1.0,850,0.05,60,11000
235,1.0,850,0.05,60,13000
236,1.0,850,0.05,60,15000
237,1.0,850,0.05,60,20000
238,1.0,850,0.05,70,0
239,1.0,850,0.05,70,5000
240,1.0,850,0.05,70,7000
241,1.0,850,0.05,70,11000
242,1.0,850,0.05,70,13000
243,1.0,850,0.05,70,15000
244,1.0,850,0.05,70,20000
245,1.0,850,0.05,80,0
246,1.0,850,0.05,80,5000
247,1.0,850,0.05,80,7000
248,1.0,850,0.05,80,11000
249,1.0,850,0.05,80,13000
250,1.0,850,0.05,80,15000
251,1.0,850,0.05,80,20000
252,1.0,900,0.05,30,0
253,1.0,900,0.05,30,5000
254,1.0,900,0.05,30,7000
255,1.0,900,0.05,30,11000
256,1.0,900,0.05,30,13000
257,1.0,900,0.05,30,15000
258,1.0,900,0.05,30,20000
259,1.0,900,0.05,40,0
260,1.0,900,0.05,40,5000
261,1.0,900,0.05,40,7000
262,1.0,900,0.05,40,11000
263,1.0,900,0.05,40,13000
264,1.0,900,0.05,40,15000
265,1.0,900,0.05,40,20000
266,1.0,900,0.05,50,0
267,1.0,900,0.05,50,5000
268,1.0,900,0.05,50,7000
269,1.0,900,0.05,50,11000
270,1.0,900,0.05,50,13000
271,1.0,900,0.05,50,15000
272,1.0,900,0.05,50,20000
273,1.0,900,0.05,60,0
274,1.0,900,0.05,60,5000
275,1.0,900,0.05,60,7000
276,1.0,900,0.05,60,11000
277,1.0,900,0.05,60,13000
278,1.0,900,0.05,60,15000
279,1.0,900,0.05,60,20000
280,1.0,900,0.05,70,0
281,1.0,900,0.05,70,5000
282,1.0,900,0.05,70,7000
283,1.0,900,0.05,70,11000
284,1.0,900,0.05,70,13000
285,1.0,900,0.05,70,15000
286,1.0,900,0.05,70,20000
287,1.0,900,0.05,80,0
288,1.0,900,0.05,80,5000
289,1.0,900,0.05,80,7000
290,1.0,900,0.05,80,11000
291,1.0,900,0.05,80,13000
292,1.0,900,0.05,80,15000
293,1.0,900,0.05,80,20000
294,1.0,400,0.1,30,0
