dz,density,zenith,algae,BBA,abs
0.05,500,80,7000,0.27944962474817026,29.773786799826087
0.05,500,80,11000,0.26776643655139803,33.42492631856751
0.05,500,80,13000,0.2623527512085601,35.14381843380742
0.05,500,80,15000,0.25721195669460034,36.793370847324866
0.05,500,80,20000,0.24537093365212057,40.66336069467755
0.05,600,30,0,0.16328655315004797,101.46451577357459
0.05,600,30,5000,0.15551869729326462,115.05703806662552
0.05,600,30,7000,0.15264564915208906,120.17670811656347
0.05,600,30,11000,0.14725541646801674,129.93831400025337
0.05,600,30,13000,0.14472516637752633,134.597086736335
0.05,600,30,15000,0.14229424104260877,139.1265656534783
0.05,600,30,20000,0.13662247957482193,149.9127327293883
0.05,600,40,0,0.179808875879206,92.02243723299532
0.05,600,40,5000,0.17117291741887852,105.22777649291803
0.05,600,40,7000,0.16798103546969861,110.19723582584902
0.05,600,40,11000,0.16199642057266755,119.6645542805093
0.05,600,40,13000,0.15918777960163588,124.18238960645573
0.05,600,40,15000,0.15649181981968455,128.56866213374946
0.05,600,40,20000,0.15019714094341147,139.02963658685894
0.05,600,50,0,0.20285906065055329,79.61165089959208
0.05,600,50,5000,0.1929121892012979,92.14232430449876
0.05,600,50,7000,0.1892406510074802,96.85121841239011
0.05,600,50,11000,0.18236448078492642,105.81097534018893
0.05,600,50,13000,0.1791411576252567,110.08106843832628
0.05,600,50,15000,0.17604955932739969,114.22312489701899
0.05,600,50,20000,0.16884933940769117,124.0659986434995
0.05,600,60,0,0.23463697402621553,63.38877058886661
0.05,600,60,5000,0.2227050294701453,74.7718351654197
0.05,600,60,7000,0.2183124253434877,79.03896250951014
0.05,600,60,11000,0.21010427890228725,87.1407669200685
0.05,600,60,13000,0.20626536666921408,90.99342799825425
0.05,600,60,15000,0.20258894448468737,94.72495012915934
0.05,600,60,20000,0.19404928168505864,103.56864333938051
0.05,600,70,0,0.27265504493908305,44.75485442436496
0.05,600,70,5000,0.25759059363898285,54.21135081995736
0.05,600,70,7000,0.2520786129255846,57.73779071986901
0.05,600,70,11000,0.24183160094666267,64.40305204595406
0.05,600,70,13000,0.2370640769499592,67.55785352307171
0.05,600,70,15000,0.23251411224279417,70.60384087653352
0.05,600,70,20000,0.2220082318437911,77.78277481915876
0.05,600,80,0,0.31096796470296556,23.463987359724285
0.05,600,80,5000,0.28994091711289605,29.691823264182645
0.05,600,80,7000,0.2824070815803222,31.970234962459095
0.05,600,80,11000,0.26864274314701847,36.207229646499776
0.05,600,80,13000,0.2623501528261415,38.17972371294698
0.05,600,80,15000,0.25641343115466303,40.06325004697406
0.05,600,80,20000,0.2429722950415006,44.417870280007584
0.05,700,30,0,0.1678910116383599,106.50657091839304
0.05,700,30,5000,0.1585407114478365,122.5241656355681
0.05,700,30,7000,0.1551268528350788,128.49434788187006
0.05,700,30,11000,0.14878686332130864,139.7869011976788
0.05,700,30,13000,0.14583859255804305,145.1388122179708
0.05,700,30,15000,0.14302392759357443,150.32090691424258
0.05,700,30,20000,0.13651706551448975,162.58856832861807
0.05,700,40,0,0.18455198497606742,96.29256397664732
0.05,700,40,5000,0.17417868524398838,111.83477412098553
0.05,700,40,7000,0.17039433215842614,117.62216435260687
0.05,700,40,11000,0.1633701644245179,128.56202875355612
0.05,700,40,13000,0.1601038793649285,133.7481117527732
0.05,700,40,15000,0.15699068351746362,138.75622232284522
0.05,700,40,20000,0.14979843415818692,150.60200881770194
0.05,700,50,0,0.20763325279339195,82.95849042632896
0.05,700,50,5000,0.195727609584888,97.67696477631291
0.05,700,50,7000,0.19139073171597384,103.14913943351756
0.05,700,50,11000,0.18335128298882827,113.47895297469911
0.05,700,50,13000,0.1796178415996693,118.3686890124532
0.05,700,50,15000,0.1760624568597602,123.08597704287256
0.05,700,50,20000,0.16786014899387935,134.22653967202086
0.05,700,60,0,0.23913572347613765,65.74628938751225
0.05,700,60,5000,0.22493607162656257,79.07450360388314
0.05,700,60,7000,0.219779070356307,84.0164215146369
0.05,700,60,11000,0.210243578450592,93.32315935808174
0.05,700,60,13000,0.20582698737952992,97.71758597655254
0.05,700,60,15000,0.20162810077552792,101.9501047253189
0.05,700,60,20000,0.19197048497517497,111.91531397299086
0.05,700,70,0,0.27628025367684594,46.202003929209546
0.05,700,70,5000,0.2585098387903431,57.221578275106175
0.05,700,70,7000,0.252100759770069,61.283646320887556
0.05,700,70,11000,0.2403190234024413,68.8945777223192
0.05,700,70,13000,0.2348945866810681,72.46911794749238
0.05,700,70,15000,0.22975726959788106,75.90003304102186
0.05,700,70,20000,0.21802160294721498,83.92601935957259
0.05,700,80,0,0.313190821232103,24.2461470563309
0.05,700,80,5000,0.28866682685811973,31.4464690229612
0.05,700,80,7000,0.2800327610616646,34.042772518523826
0.05,700,80,11000,0.26447305612831845,38.81720741645984
0.05,700,80,13000,0.2574523619756193,41.01673161788891
0.05,700,80,15000,0.25088865607832633,43.10163052000312
0.05,700,80,20000,0.23622788305936915,47.870809431314754
0.05,800,30,0,0.1586757318982586,110.56550593781171
0.05,800,30,5000,0.14863622235787924,128.34191605030406
0.05,800,30,7000,0.1450134495631722,134.91982752679561
0.05,800,30,11000,0.1383463300664808,147.29866300301018
0.05,800,30,13000,0.1352716837272102,153.1443984533882
0.05,800,30,15000,0.1323529704818185,158.78432882123042
0.05,800,30,20000,0.12566757239570242,172.08439572380985
0.05,800,40,0,0.17470497462344137,99.70614313602265
