dz,density,zenith,algae,BBA,abs
0.1,800,80,7000,0.3095410420993549,36.58937952248019
0.1,800,80,11000,0.28909592503245346,42.06560033367803
0.1,800,80,13000,0.2800044266781323,44.550140823726785
0.1,800,80,15000,0.27157438414319246,46.88464970134071
0.1,800,80,20000,0.25301724057756286,52.14213616129554
0.1,850,30,0,0.2000336155496702,112.32294767381761
0.1,850,30,5000,0.18538127940462276,133.99297755225277
0.1,850,30,7000,0.18015907959950386,141.8661755701929
0.1,850,30,11000,0.17063171383966982,156.48744750862886
0.1,850,30,13000,0.1662753648703118,163.30195635801186
0.1,850,30,15000,0.1621592923183022,169.82856429319378
0.1,850,30,20000,0.15280592941878315,185.02627615282026
0.1,850,40,0,0.21682951603709427,101.17351222760398
0.1,850,40,5000,0.20083152242765065,122.01480277891783
0.1,850,40,7000,0.1951336989695722,129.58401248168005
0.1,850,40,11000,0.18474436371631453,143.63612149451808
0.1,850,40,13000,0.17999886617341904,150.17733086188437
0.1,850,40,15000,0.17551586393308952,156.44256290546602
0.1,850,40,20000,0.16533631974145857,171.02065936895073
0.1,850,50,0,0.23911579190816462,86.75562259535099
0.1,850,50,5000,0.2211894554097677,106.2351893526471
0.1,850,50,7000,0.21481404791697886,113.30405851047269
0.1,850,50,11000,0.20320473317938942,126.41416889900478
0.1,850,50,13000,0.19790610171229595,132.51654970730203
0.1,850,50,15000,0.19290715553907767,138.35275517213816
0.1,850,50,20000,0.18157298236351868,151.91472021387145
0.1,850,60,0,0.2678847571986607,68.43815893919692
0.1,850,60,5000,0.24721886728561293,85.76128472928984
0.1,850,60,7000,0.23989116827171225,92.03654513712623
0.1,850,60,11000,0.2265819479403691,103.65482954899196
0.1,850,60,13000,0.2205235427687623,109.05247200026898
0.1,850,60,15000,0.21481796337044604,114.20749811598067
0.1,850,60,20000,0.20192146722085352,126.15559846266892
0.1,850,70,0,0.29941879894389944,47.94966079834811
0.1,850,70,5000,0.27462836568184607,61.9583610946367
0.1,850,70,7000,0.265902770156425,67.00658863666696
0.1,850,70,11000,0.25015285756717914,76.30860751645318
0.1,850,70,13000,0.24302914853683139,80.60804615036042
0.1,850,70,15000,0.23634880042897824,84.69949636143721
0.1,850,70,20000,0.22135930739363527,94.12102954754332
0.1,850,80,0,0.3287779451285403,25.352270983097114
0.1,850,80,5000,0.295689846108595,34.31502084355176
0.1,850,80,7000,0.2843685555123473,37.46353920547783
0.1,850,80,11000,0.2644033444684386,43.14025778634406
0.1,850,80,13000,0.25558430026408324,45.70569943692522
0.1,850,80,15000,0.24744114218541113,48.11053617446634
0.1,850,80,20000,0.2296429210433255,53.504948177013446
0.1,900,30,0,0.1178763315384179,113.43086674474766
0.1,900,30,5000,0.10934567906193633,131.29550502058507
0.1,900,30,7000,0.10629914306564918,137.90872283171345
0.1,900,30,11000,0.1007342970077015,150.38066129306512
0.1,900,30,13000,0.09818809937805308,156.2794147907451
0.1,900,30,15000,0.09578280434640717,161.97881801411089
0.1,900,30,20000,0.09031815889705899,175.456977813813
0.1,900,40,0,0.1299576418860055,102.03857290827804
0.1,900,40,5000,0.1204004380791925,119.47812413495299
0.1,900,40,7000,0.1169915830354389,125.92456370737897
0.1,900,40,11000,0.11077400931485851,138.05836850437365
0.1,900,40,13000,0.10793227063351883,143.78981362674244
0.1,900,40,15000,0.10525002943808749,149.32174627545592
0.1,900,40,20000,0.09916477990291231,162.38015679343204
0.1,900,50,0,0.14754777162332525,87.36611972115811
0.1,900,50,5000,0.13636112635527506,104.06853709983146
0.1,900,50,7000,0.13238095235488323,110.22544816076395
0.1,900,50,11000,0.1251374185186947,121.78478123976588
0.1,900,50,13000,0.12183418404369652,127.23092990947531
0.1,900,50,15000,0.11872084445210865,132.47884408106898
0.1,900,50,20000,0.11167569389812534,144.82939269453726
0.1,900,60,0,0.1736673876444956,68.83219559908744
0.1,900,60,5000,0.15982376563812437,84.25926082345708
0.1,900,60,7000,0.15492279971031578,89.9170371752787
0.1,900,60,11000,0.14604088832539455,100.49318577738833
0.1,900,60,13000,0.14200791748914454,105.45397501522822
0.1,900,60,15000,0.1382175733883159,110.22001704839792
0.1,900,60,20000,0.1296822488426084,121.37836787204142
0.1,900,70,0,0.20790727646987467,48.231096766521574
0.1,900,70,5000,0.1894261353056635,61.408262843503394
0.1,900,70,7000,0.1829572444077254,66.19050553952925
0.1,900,70,11000,0.1713435088350657,75.05128053775864
0.1,900,70,13000,0.16612045167906644,79.17003068748845
0.1,900,70,15000,0.16124237529137397,83.10335741514358
0.1,900,70,20000,0.1503749874477902,92.21610460810824
0.1,900,80,0,0.24592957930868797,25.671632254887193
0.1,900,80,5000,0.21802532427049823,34.72443458620464
0.1,900,80,7000,0.20861267931062588,37.902746849289
0.1,900,80,11000,0.1922131889919441,43.63103239106003
0.1,900,80,13000,0.1850586930237876,46.219485647121964
0.1,900,80,15000,0.1785069884618547,48.64569726774752
0.1,900,80,20000,0.1643873801330862,54.08847841155864
0.15,400,30,0,0.24870304873821017,87.52363834312582
0.15,400,30,5000,0.2396840197513797,99.3392543305762
0.15,400,30,7000,0.2362815546160738,103.82406437708363
0.15,400,30,11000,0.2297970706956565,112.41907504045018
0.15,400,30,13000,0.22670386247773058,116.5442319773213
0.15,400,30,15000,0.22371664426877522,120.53144745935332
0.15,400,30,20000,0.21659473621739672,130.14746759862646
0.15,400,40,0,0.2662611819453082,80.06212801014784
0.15,400,40,5000,0.25656265339539136,91.3139506935934
0.15,400,40,7000,0.2529047549349963,95.58544403294138
0.15,400,40,11000,0.2459351715922555,103.77211951797855
0.15,400,40,13000,0.2426121482630653,107.69986208577122
0.15,400,40,15000,0.23939035648589033,111.52439066434867
0.15,400,40,20000,0.23175041777349853,120.66443852569026
0.15,400,50,0,0.28892699985710657,70.10856840814488
0.15,400,50,5000,0.27827760741104635,80.48785109019487
0.15,400,50,7000,0.274263146913102,84.42860856620278
0.15,400,50,11000,0.26661760653845024,91.98191073044465
0.15,400,50,13000,0.26297398270897737,95.60588798505081
0.15,400,50,15000,0.25944247374261364,99.13461515205971
0.15,400,50,20000,0.2510729215096176,107.56708144490058
0.15,400,60,0,0.31730810447884483,56.66570063972867
0.15,400,60,5000,0.3053285716112262,65.749480858022
0.15,400,60,7000,0.30081786202311056,69.1977872547117
0.15,400,60,11000,0.2922356826326935,75.80584815398284
0.15,400,60,13000,0.2881498328958963,78.97547460376437
0.15,400,60,15000,0.2841924093760975,82.06115020917268
0.15,400,60,20000,0.2748246308952845,89.43189051263319
0.15,400,70,0,0.34769794596217835,40.79604170206898
0.15,400,70,5000,0.33367334214823857,48.01920560283403
0.15,400,70,7000,0.32840871884932055,50.756633450018356
0.15,400,70,11000,0.31841824073420605,55.994481347627314
0.15,400,70,13000,0.3136746019303116,58.50278868951395
0.15,400,70,15000,0.30908825516113836,60.94190004066985
0.15,400,70,20000,0.29826535643187896,66.75635396936258
0.15,400,80,0,0.37586796382954213,21.638302385790887
0.15,400,80,5000,0.35736388818038245,26.213375484760476
0.15,400,80,7000,0.3505058464746849,27.928013328956105
0.15,400,80,11000,0.3376305966167962,31.177664872903577
0.15,400,80,13000,0.3315834015761475,32.71871497961378
0.15,400,80,15000,0.3257786400551174,34.20748063169156
0.15,400,80,20000,0.3122494971549329,37.71615254504004
0.15,500,30,0,0.2728823475080148,95.41280994494171
0.15,500,30,5000,0.26022680869907183,111.02837119094458
0.15,500,30,7000,0.2555285551782879,116.86314666671531
0.15,500,30,11000,0.24668567558327012,127.91228155323066
0.15,500,30,13000,0.24252067594430718,133.14944857198032
0.15,500,30,15000,0.23852892147978363,138.18435753602884
0.15,500,30,20000,0.22911971871528783,150.18243724247296
0.15,500,40,0,0.28981487859353994,86.86310432814689
0.15,500,40,5000,0.27633896566991956,101.63249452135041
0.15,500,40,7000,0.27133738885867004,107.15356233381777
0.15,500,40,11000,0.26192613032063305,117.61119591080622
0.15,500,40,13000,0.25749319207615934,122.57201545420834
0.15,500,40,15000,0.2532439600347718,127.34519461254757
0.15,500,40,20000,0.24323712966739888,138.70825804894045
0.15,500,50,0,0.31139322817730963,75.54263338719116
0.15,500,50,5000,0.296780801091423,89.048101782831
0.15,500,50,7000,0.29136034705827235,94.0990853910956
0.15,500,50,11000,0.28116579143148185,103.66944014180746
0.15,500,50,13000,0.2763662964070897,108.21062829012982
0.15,500,50,15000,0.2717669925553813,112.5815679133905
0.15,500,50,20000,0.2609437677516627,122.98514225382195
0.15,500,60,0,0.33814887136384925,60.525585228612414
0.15,500,60,5000,0.321950341764722,72.2219048661509
0.15,500,60,7000,0.31594920382944175,76.5969282694486
0.15,500,60,11000,0.30467507771991237,84.88660203534036
0.15,500,60,13000,0.2993734213254041,88.81984811000973
0.15,500,60,15000,0.29429615307367085,92.6065701304457
0.15,500,60,20000,0.2823669126749275,101.61261293912142
0.15,500,70,0,0.36649317592539804,43.05208736674011
0.15,500,70,5000,0.34782170549133096,52.23840527445264
0.15,500,70,7000,0.3409292272493085,55.668659071288594
0.15,500,70,11000,0.3280204248179694,62.15757219285213
0.15,500,70,13000,0.3219691955828566,65.2309230969124
0.15,500,70,15000,0.3161845383139966,68.18781752502674
0.15,500,70,20000,0.30264953841383174,75.19751116956984
0.15,500,80,0,0.392192216681989,22.626945864896804
0.15,500,80,5000,0.36800775641850864,28.341641315779366
0.15,500,80,7000,0.3592173708223503,30.447028686840593
0.15,500,80,11000,0.34296655270449816,34.38392221582494
0.15,500,80,13000,0.3354484210836515,36.22655058834198
0.15,500,80,15000,0.3283182201565201,37.98731781708755
0.15,500,80,20000,0.3119019624477996,42.096681788580774
0.15,600,30,0,0.28894741439629656,101.66733997129708
0.15,600,30,5000,0.2726331682115331,121.04832718793591
0.15,600,30,7000,0.2666721615195931,128.18006884341003
0.15,600,30,11000,0.2555887031075817,141.53051225729237
0.15,600,30,13000,0.2504285408766537,147.79121151986953
0.15,600,30,15000,0.2454964520249044,153.8089259093251
0.15,600,30,20000,0.23407850006425568,167.87710988211006
0.15,600,40,0,0.30527696768906204,92.19860508606584
0.15,600,40,5000,0.2880163311810878,110.44493583932368
0.15,600,40,7000,0.2817110734693353,117.1639869812941
0.15,600,40,11000,0.26999043284901214,129.74814257581292
0.15,600,40,13000,0.26453338671114496,135.65540176420447
0.15,600,40,15000,0.25932022320271647,141.3315092418395
0.15,600,40,20000,0.24724258950147,154.6318662370917
0.15,600,50,0,0.3259531657460796,79.75255369071796
0.15,600,50,5000,0.30738556544137025,96.340910007349
0.15,600,50,7000,0.300606776608289,102.45427045573585
0.15,600,50,11000,0.288012393189243,113.9104242218145
0.15,600,50,13000,0.2821517385173097,119.29079378087125
0.15,600,50,15000,0.27655512495813367,124.46196711828112
0.15,600,50,20000,0.26360895400619566,136.5649113734624
0.15,600,60,0,0.35150337680893806,63.48809447587106
0.15,600,60,5000,0.3311061244770614,77.75588157336254
0.15,600,60,7000,0.3236699640478698,83.01624682280152
0.15,600,60,11000,0.309871490414947,92.87575589834469
0.15,600,60,13000,0.30345889304259677,97.50657819796362
0.15,600,60,15000,0.29734063300284236,101.95715395485962
0.15,600,60,20000,0.28320995026600865,112.37131059541443
0.15,600,70,0,0.37840269711899754,44.81230662353259
0.15,600,70,5000,0.35511939226450756,55.92607239551057
0.15,600,70,7000,0.3466662599764923,60.016102338507274
0.15,600,70,11000,0.33103655352635014,67.6681825218746
0.15,600,70,13000,0.323799610872769,71.25493687597364
0.15,600,70,15000,0.3169119020530784,74.6969788950411
0.15,600,70,20000,0.3010727469576374,82.72883441156499
0.15,600,80,0,0.40229689867767315,23.486937162503978
0.15,600,80,5000,0.3725288034405933,30.31114450694014
0.15,600,80,7000,0.3619163515280012,32.78316534799894
0.15,600,80,11000,0.3425904810129141,37.34561929534951
0.15,600,80,13000,0.33377961967426806,39.45435689804841
0.15,600,80,15000,0.32547922702653714,41.45897762062481
0.15,600,80,20000,0.3067238116421706,46.05982448385148
0.15,700,30,0,0.2945927271102777,106.71737880773266
0.15,700,30,5000,0.2750678315430399,129.54671819835642
0.15,700,30,7000,0.26804125848842525,137.82908260854433
0.15,700,30,11000,0.25512657748670525,153.17077501537722
0.15,700,30,13000,0.24917635262373186,160.3002276733652
0.15,700,30,15000,0.24353041503073142,167.10988076377024
0.15,700,30,20000,0.23058939653299598,182.90619156999585
0.15,700,40,0,0.31051425939278005,96.47494019366034
0.15,700,40,5000,0.2899165847825712,117.92337959279406
0.15,700,40,7000,0.2825058855772706,125.71196543589393
0.15,700,40,11000,0.2688872719345534,140.15123139563198
0.15,700,40,13000,0.2626114260156718,146.87110157644096
0.15,700,40,15000,0.2566626221134103,153.28244005149335
0.15,700,40,20000,0.24303051576647777,168.16535026818997
0.15,700,50,0,0.33062684442596113,83.10381805927587
0.15,700,50,5000,0.308548402718246,102.55321053735655
0.15,700,50,7000,0.3006099918468181,109.62312431692193
0.15,700,50,11000,0.28602996620250715,122.73940524264749
0.15,700,50,13000,0.2793152802756998,128.84709581929167
0.15,700,50,15000,0.27295314624024,134.6765812569646
0.15,700,50,20000,0.25838370022270435,148.21648769366715
0.15,700,60,0,0.3554664894712829,65.84859049470951
0.15,700,60,5000,0.33131026664341445,82.52605925284418
0.15,700,60,7000,0.32263880205581374,88.59193333856209
0.15,700,60,11000,0.30673501453237056,99.84849160289926
0.15,700,60,13000,0.29942178047196066,105.09043456359335
0.15,700,60,15000,0.2924993018384219,110.09390127680415
0.15,700,60,20000,0.27667570134653224,121.71102856260488
0.15,700,70,0,0.3815257350401045,46.26143226095853
0.15,700,70,5000,0.35407602173364616,59.2023098120537
0.15,700,70,7000,0.34426927079845415,63.89945148883296
0.15,700,70,11000,0.32635698998528156,72.5978237195384
0.15,700,70,13000,0.31815555943301793,76.6384327473562
0.15,700,70,15000,0.31041381785701805,80.48913910687747
0.15,700,70,20000,0.29280701800477243,89.3987600391146
0.15,700,80,0,0.4043362569343211,24.270052130808875
0.15,700,80,5000,0.3694870722351767,32.16069884649009
0.15,700,80,7000,0.357296355945564,34.972760941678054
0.15,700,80,11000,0.3354167154172873,40.09879540982276
0.15,700,80,13000,0.3255774855279608,42.44093264982712
0.15,700,80,15000,0.31639636126898923,44.64930460445467
0.15,700,80,20000,0.29593648457193233,49.66008529105725
0.15,800,30,0,0.27832662195275804,110.77220934993153
0.15,800,30,5000,0.25739987894349564,135.90049379479368
0.15,800,30,7000,0.24996432537698338,144.921872986626
0.15,800,30,11000,0.23642838357410945,161.50932728568114
0.15,800,30,13000,0.23024724261037954,169.1703835193536
0.15,800,30,15000,0.22441320659518096,176.46006537576284
0.15,800,30,20000,0.2111662729114999,193.26630822935465
0.15,800,40,0,0.2942817547862021,99.88610088012715
0.15,800,40,5000,0.27212216771629333,123.56481800140253
0.15,800,40,7000,0.2642513952512297,132.07315503314874
0.15,800,40,11000,0.249926493461309,147.72951908899967
0.15,800,40,13000,0.24338740893801875,154.96432852085078
0.15,800,40,15000,0.23721612755601923,161.85223405210905
0.15,800,40,20000,0.22321282648059554,177.7318409014596
0.15,800,50,0,0.3145036952101299,85.76472532547261
0.15,800,50,5000,0.2906421619958881,107.31636020186015
0.15,800,50,7000,0.28217365236970526,115.06780122332736
0.15,800,50,11000,0.26677196519452145,129.34012760553904
0.15,800,50,13000,0.2597469136174615,135.9382697165987
0.15,800,50,15000,0.2531212962326469,142.22011009331052
0.15,800,50,20000,0.23809791560050456,156.71128986433564
0.15,800,60,0,0.33953145995866363,67.73516527014472
0.15,800,60,5000,0.31329227276927335,86.29545023751255
0.15,800,60,7000,0.3039981557478554,92.97376584383781
0.15,800,60,11000,0.28712391665394366,105.27099076326662
0.15,800,60,13000,0.2794411673263481,110.95508725038894
0.15,800,60,15000,0.2722041631603765,116.36535807424708
0.15,800,60,20000,0.2558301717607341,128.8374229311203
0.15,800,70,0,0.36582109959573333,47.47291381334017
0.15,800,70,5000,0.3358524489743583,61.94524341050308
0.15,800,70,7000,0.3252971651594519,67.13874804234906
0.15,800,70,11000,0.30622561256335384,76.676246082367
0.15,800,70,13000,0.2975861252022032,81.07108474593386
0.15,800,70,15000,0.2894753076120169,85.2447815356076
0.15,800,70,20000,0.27123209031047163,94.82514835830699
0.15,800,80,0,0.38886582871011943,25.004778406748493
0.15,800,80,5000,0.3506304605659906,33.878052743135534
0.15,800,80,7000,0.33748990676035656,36.99459700211513
0.15,800,80,11000,0.31422425440380564,42.6133486424856
0.15,800,80,13000,0.30390152857465796,45.15309718724926
0.15,800,80,15000,0.29434154111998845,47.53411943875507
0.15,800,80,20000,0.2733332319398089,52.8773373729331
0.15,850,30,0,0.24544061803653827,112.38416155504551
0.15,850,30,5000,0.22620410382473694,137.12478558233167
0.15,850,30,7000,0.21939299852044974,146.00444044855865
0.15,850,30,11000,0.2070237214617411,162.34183392801165
0.15,850,30,13000,0.201391150737671,169.88888198376785
0.15,850,30,15000,0.19608208806274185,177.07711280109098
0.15,850,30,20000,0.18406133538242456,193.66575501781173
0.15,850,40,0,0.26170996210858,101.22596269067348
0.15,850,40,5000,0.24112620408611407,124.71639463218854
0.15,850,40,7000,0.23384141082214463,133.15193107354375
0.15,850,40,11000,0.22061671100761626,148.67856165771127
0.15,850,40,13000,0.21459950654429621,155.8481109869003
0.15,850,40,15000,0.20892829148660105,162.6801247392308
0.15,850,40,20000,0.19609448632642548,178.44728291839874
0.15,850,50,0,0.2825705075941446,86.7969588382076
0.15,850,50,5000,0.2601146731147813,108.38277149553826
0.15,850,50,7000,0.2521756439517699,116.13766396982271
0.15,850,50,11000,0.23777774108312674,130.41169470073902
0.15,850,50,13000,0.2312300840500717,137.00834239361467
0.15,850,50,15000,0.22506550897632183,143.28944665680018
0.15,850,50,20000,0.21113133069084386,157.78105975737319
0.15,850,60,0,0.3086016411962366,68.46703528907773
0.15,850,60,5000,0.2835401823296907,87.26850367571163
0.15,850,60,7000,0.2747009764465967,94.02152472179017
0.15,850,60,11000,0.2587036349487883,106.44515009158596
0.15,850,60,13000,0.25144432327643956,112.18242492669667
0.15,850,60,15000,0.24461976327876994,117.64171003957772
0.15,850,60,20000,0.22923333394635423,130.22008454583914
0.15,850,70,0,0.3361534658567572,47.966551213699645
0.15,850,70,5000,0.3070895082830413,62.82021242778099
0.15,850,70,7000,0.2969046042150535,68.13624791434215
0.15,850,70,11000,0.27857305302252133,77.88213512278968
0.15,850,70,13000,0.27030187172976144,82.36529761721388
0.15,850,70,15000,0.2625557402276715,86.61918635171698
0.15,850,70,20000,0.2452070006468898,96.36902841050191
0.15,850,80,0,0.36070776313342506,25.359146692667785
0.15,850,80,5000,0.32299723588708473,34.62505700258259
0.15,850,80,7000,0.31013520832809144,37.862859252656726
0.15,850,80,11000,0.28749693156840356,43.67811966453346
0.15,850,80,13000,0.2775130662766804,46.29670153862735
0.15,850,80,15000,0.2683018746389854,48.74599560208821
0.15,850,80,20000,0.2481905264573426,54.22106632394564
0.15,900,30,0,0.14157076896996212,113.46439296159183
0.15,900,30,5000,0.13074879878876944,133.04939540695875
0.15,900,30,7000,0.12689677482363232,140.22984261145893
0.15,900,30,11000,0.11987683455555455,153.6708691075983
0.15,900,30,13000,0.11667115995502411,159.98375291749565
0.15,900,30,15000,0.11364623633731821,166.05693496046706
0.15,900,30,20000,0.10678477541883817,180.31901614226626
0.15,900,40,0,0.1555781891590756,102.07028305040143
0.15,900,40,5000,0.1435177792342067,121.13133930154859
0.15,900,40,7000,0.13922924969746195,128.11130485582825
0.15,900,40,11000,0.1314231995902824,141.15489668771392
0.15,900,40,13000,0.12786167652528815,147.27429190841553
0.15,900,40,15000,0.12450326051332752,153.15583111837662
0.15,900,40,20000,0.1168941445389082,166.94528105270206
0.15,900,50,0,0.17516286312507384,87.3939959059489
0.15,900,50,5000,0.16122102571972577,105.53038535571976
0.15,900,50,7000,0.15627367225283725,112.15716613355808
0.15,900,50,11000,0.1472851151966257,124.51475145134846
0.15,900,50,13000,0.1431917861553722,130.2998662851515
0.15,900,50,15000,0.13933657728763157,135.8523269479693
0.15,900,50,20000,0.13062089565632096,148.83606038680753
0.15,900,60,0,0.2023964783516769,68.85349316672072
0.15,900,60,5000,0.18557860986217434,85.39987506330309
0.15,900,60,7000,0.17963593385444993,91.42169485944328
0.15,900,60,11000,0.1688776322290604,102.61217181503719
0.15,900,60,13000,0.1639964273884012,107.83186195415308
0.15,900,60,15000,0.1594104053121653,112.82925335998328
0.15,900,60,20000,0.14908627789224876,124.46361296894611
0.15,900,70,0,0.23475932159932403,48.24337051377394
0.15,900,70,5000,0.21333669359638335,62.090856647159214
0.15,900,70,7000,0.2058406292213601,67.08841223797165
0.15,900,70,11000,0.19238043354178277,76.30831848663563
0.15,900,70,13000,0.18632423376182755,80.57637563884695
0.15,900,70,15000,0.18066553474638608,84.64177901247534
0.15,900,70,20000,0.1680465574485255,94.02087454513084
0.15,900,80,0,0.26608628170124754,25.675673762100274
0.15,900,80,5000,0.23569595630245385,34.94408004741767
0.15,900,80,7000,0.22541428709883568,38.189096366588146
0.15,900,80,11000,0.20745339842082394,44.02439585682206
0.15,900,80,13000,0.1995955763832292,46.655229034039166
0.15,900,80,15000,0.19238616659500563,49.11753185442312
0.15,900,80,20000,0.17679810892444006,54.627530614630615
0.2,400,30,0,0.28653042151915203,87.55499695030076
0.2,400,30,5000,0.2756154481024444,100.61072180728968
0.2,400,30,7000,0.2715088578314799,105.54482715426047
0.2,400,30,11000,0.2636988398402282,114.96796185909231
0.2,400,30,13000,0.259980793829223,119.47510651482453
0.2,400,30,15000,0.25639344945220643,123.82491816482285
0.2,400,30,20000,0.24786138468947919,134.26865617491057
0.2,400,40,0,0.3031347241466891,80.08861451339514
0.2,400,40,5000,0.29156365487945923,92.39619684124908
0.2,400,40,7000,0.28721095470634855,97.04973101700776
0.2,400,40,11000,0.278934341333521,105.9398865772526
0.2,400,40,13000,0.27499570755626895,110.19182016889248
0.2,400,40,15000,0.2711816193879979,114.32373629401508
0.2,400,40,20000,0.26215471115513905,124.1651812077325
0.2,400,50,0,0.32418930889276304,70.12921756695023
0.2,400,50,5000,0.311709809030979,81.33810763251724
0.2,400,50,7000,0.30701721575232777,85.57842783291379
0.2,400,50,11000,0.29809736960839506,93.68237451346728
0.2,400,50,13000,0.29385416823233756,97.55966674867695
0.2,400,50,15000,0.28974616614038556,101.32830389155986
0.2,400,50,20000,0.28002811901776414,110.30712613075129
0.2,400,60,0,0.3502146045955328,56.68014257603428
0.2,400,60,5000,0.33645967901695073,66.34433575521292
0.2,400,60,7000,0.3312924570196105,70.00134942175151
0.2,400,60,11000,0.3214786027492052,76.99171098622442
0.2,400,60,13000,0.31681414707489813,80.33658332036971
0.2,400,60,15000,0.3123009529142432,83.58783784330099
0.2,400,60,20000,0.3016353086261456,91.33409989490784
0.2,400,70,0,0.37766640170458243,40.80463486401159
0.2,400,70,5000,0.3618883677266222,48.363622327666036
0.2,400,70,7000,0.3559776612627909,51.22061686926596
0.2,400,70,11000,0.344778574187106,56.675633177159256
0.2,400,70,13000,0.33946878887715715,59.282616197335685
0.2,400,70,15000,0.3343396464347499,61.81440582039407
0.2,400,70,20000,0.32225313065181327,67.8368355573663
0.2,400,80,0,0.40223639216736506,21.641860693326016
0.2,400,80,5000,0.3818114816683154,26.34104679099206
0.2,400,80,7000,0.3742538258636798,28.09842431798237
0.2,400,80,11000,0.3600823320314094,31.42348813608406
0.2,400,80,13000,0.35343379830605126,32.997767627329715
0.2,400,80,15000,0.34705615638908127,34.517094478848
0.2,400,80,20000,0.3322077959587155,38.09180441860786
0.2,500,30,0,0.31106883121522455,95.44512830538612
0.2,500,30,5000,0.29591851991216866,112.64161464640617
0.2,500,30,7000,0.2903139516489144,119.03383516013015
0.2,500,30,11000,0.2797933443983605,131.089114494962
0.2,500,30,13000,0.27485040123361265,136.78088846048905
0.2,500,30,15000,0.2701208857353247,142.23745579626066
0.2,500,30,20000,0.25899801828836,155.19202599119086
0.2,500,40,0,0.3267531288902501,86.89022909214448
0.2,500,40,5000,0.3108316850563068,102.99504049759999
0.2,500,40,7000,0.30494273091514157,108.98623180198686
0.2,500,40,11000,0.29389033274769527,120.29133312191935
0.2,500,40,13000,0.28869695751869445,125.63456878931675
0.2,500,40,15000,0.28372687953057807,130.76212622470433
0.2,500,40,20000,0.27204753578723434,142.92811800831836
0.2,500,50,0,0.3465049512125789,75.56371202681225
0.2,500,50,5000,0.32951528043610356,90.11178332779335
0.2,500,50,7000,0.3232337126553835,95.52874469941494
0.2,500,50,11000,0.31144870933043084,105.75728039875221
0.2,500,50,13000,0.3059132057758316,110.59476643729556
0.2,500,50,15000,0.3006168140163344,115.23982757714413
0.2,500,50,20000,0.2881781683253216,126.26293499090619
0.2,500,60,0,0.37086451015569366,60.54037136377498
0.2,500,60,5000,0.352359688504873,72.96426203509492
0.2,500,60,7000,0.3455252523083784,77.59321920378824
0.2,500,60,11000,0.33271510699460577,86.33738469273788
0.2,500,60,13000,0.3267039964898376,90.47421987474124
0.2,500,60,15000,0.32095561842854037,94.44863496293274
0.2,500,60,20000,0.3074742187657968,103.87653234191666
0.2,500,70,0,0.396345886691856,43.0609440936463
0.2,500,70,5000,0.37538832733980193,52.668302401635444
0.2,500,70,7000,0.3676734868412743,56.24356332788209
0.2,500,70,11000,0.3532542112662263,62.989057041087946
0.2,500,70,13000,0.34650778525435105,66.17596129523722
0.2,500,70,15000,0.3400668840039002,69.23664230543916
0.2,500,70,20000,0.32502032425751776,76.47634400246741
0.2,500,80,0,0.41842448476811517,22.630617048370233
0.2,500,80,5000,0.3917516645289959,28.500213615118785
0.2,500,80,7000,0.38207889950327906,30.65670798601453
0.2,500,80,11000,0.3642264069517957,34.68070208123161
0.2,500,80,13000,0.3559798489831555,36.560344493958404
0.2,500,80,15000,0.3481668286189261,38.35396470745173
0.2,500,80,20000,0.33020053461624527,42.53265095218819
0.2,600,30,0,0.326607475511462,101.69973696335254
0.2,600,30,5000,0.30726180313680435,122.96120473667051
0.2,600,30,7000,0.3002234123256965,130.73856708415633
0.2,600,30,11000,0.2871779192392016,145.23097068653755
0.2,600,30,13000,0.28112186604265926,151.99767152778261
0.2,600,30,15000,0.27534376221367346,158.4835757839074
0.2,600,30,20000,0.26200387631645444,173.57848870138272
0.2,600,40,0,0.3415714242939264,92.22572039715604
0.2,600,40,5000,0.3213501445134734,112.05433076431186
0.2,600,40,7000,0.31399415421027815,119.31554077642761
0.2,600,40,11000,0.3003620799507305,132.85717153537382
0.2,600,40,13000,0.2940329892824284,139.18801124535497
0.2,600,40,15000,0.28799699850898797,145.25568664842214
0.2,600,40,20000,0.2740508222504342,159.4130053026339
0.2,600,50,0,0.36036586612336796,79.773608498115
0.2,600,50,5000,0.33892675158176233,97.59361219091251
0.2,600,50,7000,0.3311309396667704,104.12744857981879
0.2,600,50,11000,0.31668930402732165,116.32398773797105
0.2,600,50,13000,0.30998712770407694,122.03091236294107
0.2,600,50,15000,0.3035972077325328,127.50336439645726
0.2,600,50,20000,0.2888530181540664,140.26362636678653
0.2,600,60,0,0.38355328769250085,63.50289386593109
0.2,600,60,5000,0.36036953099075003,78.62901144006045
0.2,600,60,7000,0.35194938306347795,84.18027781089447
0.2,600,60,11000,0.33636775952022774,94.54889215687908
0.2,600,60,13000,0.3291446472236219,99.40282685074806
0.2,600,60,15000,0.32226337446259323,104.05836079930506
0.2,600,60,20000,0.3064072602871739,114.91628355583998
0.2,600,70,0,0.4076548788618303,44.821192320649324
0.2,600,70,5000,0.3816078652489295,56.43102459187858
0.2,600,70,7000,0.3721838538920417,60.68639826661781
0.2,600,70,11000,0.35480205641983265,68.62370384250764
0.2,600,70,13000,0.34677200872629405,72.33353569225805
0.2,600,70,15000,0.3391396684003069,75.88744663800968
0.2,600,70,20000,0.32162419080961313,84.15690865145399
0.2,600,80,0,0.42795076438600205,23.490612993283058
