,dz,density,zenith,BBA,delA
80,0.04,900,50,0.11904221610031136,-0.2924513457235464
81,0.04,900,60,0.1357093062595158,-0.27578425556434194
82,0.04,900,70,0.16379959218323004,-0.24769396964062773
83,0.04,900,80,0.20969241803644148,-0.2018011437874163
84,0.06,300,30,0.6172893123251234,0.2534735868141576
85,0.06,300,40,0.6265602514676899,0.2627445259567241
86,0.06,300,50,0.6387073729351983,0.2748916474242325
87,0.06,300,60,0.6516672955310742,0.28785157002010836
88,0.06,300,70,0.6656188333619326,0.3018031078509668
89,0.06,300,80,0.8409308701752334,0.4771151446642676
90,0.06,400,30,0.5799059000368353,0.21609017452586948
91,0.06,400,40,0.5899213267097217,0.22610560119875595
92,0.06,400,50,0.6030585917168362,0.23924286620587037
93,0.06,400,60,0.6170837010968483,0.2532679755858825
94,0.06,400,70,0.632223281884193,0.26840755637322716
95,0.06,400,80,0.643091020940008,0.2792752954290422
96,0.06,500,30,0.5374328262163729,0.1736171007054071
97,0.06,500,40,0.5483716457288406,0.18455592021787476
98,0.06,500,50,0.562731549857513,0.19891582434654714
99,0.06,500,60,0.751527929596653,0.38771220408568724
100,0.06,500,70,0.5947786348167502,0.2309629093057844
101,0.06,500,80,0.6072197494448869,0.24340402393392108
102,0.06,600,30,0.4848335349514548,0.12101780944048901
103,0.06,600,40,0.49699419252798854,0.13317846701702274
104,0.06,600,50,0.5129745299571888,0.14915880444622304
105,0.06,600,60,0.5301214353806601,0.16630570986969434
106,0.06,600,70,0.5489025460701298,0.18508682055916398
107,0.06,600,80,0.7447764809298727,0.3809607554189069
108,0.06,700,30,0.4130448998294334,0.04922917431846757
109,0.06,700,40,0.4269601777586108,0.06314445224764498
110,0.06,700,50,0.44527182945655674,0.08145610394559094
111,0.06,700,60,0.46499623221928954,0.10118050670832374
112,0.06,700,70,0.48683920337307773,0.12302347786211193
113,0.06,700,80,0.5051299484731123,0.14131422296214652
114,0.06,800,30,0.30181682735891907,-0.06199889815204673
115,0.06,800,40,0.3182211535733515,-0.04559457193761429
116,0.06,800,50,0.3401056075003994,-0.023710118010566383
117,0.06,800,60,0.36396203974819874,0.00014631423723293624
118,0.06,800,70,0.39076899902676404,0.026953273515798237
119,0.06,800,80,0.4149327490845968,0.051117023573631015
120,0.06,900,30,0.11001558058245618,-0.2538001449285096
121,0.06,900,40,0.11914871939984183,-0.24466700611112396
122,0.06,900,50,0.13374287936496998,-0.23007284614599582
123,0.06,900,60,0.1541175031086671,-0.2096982224022987
124,0.06,900,70,0.18569428676627212,-0.1781214387446937
125,0.06,900,80,0.22808270899172006,-0.13573301651924574
126,0.08,300,30,0.6434638411272606,0.3348109537727098
127,0.08,300,40,0.6517293922515598,0.34307650489700897
128,0.08,300,50,0.8422181883338233,0.5335653009792725
129,0.08,300,60,0.6740214304355724,0.36536854308102157
130,0.08,300,70,0.6861423538924099,0.37748946653785903
131,0.08,300,80,0.6935800789022125,0.3849271915476617
132,0.08,400,30,0.6082408540168318,0.299587966662281
133,0.08,400,40,0.617162907218696,0.3085100198641452
134,0.08,400,50,0.6288557953375594,0.3202029079830086
